Id,name,short_name,website_url,linkedin_url
120438,StarPaks,,,
120439,University of Maryland School of Medicine,,,
120440,Biophotonics Lab,,,
120441,The Quick & Reilly Group,,,
120442,Dragon Garden Angel Investments,,,
120443,"Digz-it, Inc.",,,
120444,Boom Fantasy,,https://www.boomfantasy.com,
120445,North Korea Strategy Center,,,
120446,School for Social Entrepreneurs (SSE) Australia,,,
120447,"North Korea Strategy Center U.S., Inc.",,,
120448,Social Ventures Australia,,,
120449,Yonsei Korean Language Institute,,,
120450,Medallion Farms,,,
120451,"Hagemeyer North America, Industrial Distribution Group",,,
120452,Prestige Financial,,,
120454,"ABR Partners, LLC",,,
120455,The Continuum Company,,,
120456,"Triton Realty Group, LLC",,,
120457,Princeton Risk Managers,,,
120458,"Risk Placement Services, Inc.",Risk Placement Services,http://www.rpsins.com,
120459,DVUA of NJ (A Division of Hull & Co),,,
120460,Metcom Excess,,,
120461,TJX Europe,,,
120462,Pryde Consulting,,,
120463,Huru - one account for all your household services,,,
120464,"Horton's Kids, Inc.",,,
120465,Pareto Energy,,http://www.paretoenergy.com,https://www.linkedin.com/company/pareto-energy
120466,The Georgetown Center for Business and Public Policy,,,
120467,Graduate Institute of International and Development Studies,,,
120468,"TV Guide Magazine, LLC",,http://www.tvguidemagazine.com,
120469,Hampden Academy,,,
120470,Town Creek Elementary,,,
120472,"Saint Louis University Madrid, Study Abroad",,,
120473,Local Ice Cream,,,
120474,Leon Dash Media,,,
120475,Freelance Styling,,,
120476,Pulse 360,,,
120477,Project Amuso,,,
120478,Disney Theatrical Group,,,
120479,"Gumdrop Cases, LLC",Gumdrop Cases,http://www.gumdropcases.com,
120480,Indiana Pacers,,,
120481,Dobbs Ferry Middle School,,,
120482,My Technology Industry Transformation Years,,,
120483,MCI Communication Corp (now Verizon),,,
120484,PactSafe,,https://www.pactsafe.com,https://www.linkedin.com/company/3238224
120485,Hollis Adams Foundation,,,
120486,General Atlantic,,,http://www.linkedin.com/company/general-atlantic
120487,WHISTLEPIG STRAIGHT RYE WHISKEY,,,
120488,Ellington Management Group,,http://www.ellington.com,
120489,Cohen Brothers Realty Corporation,Cohen Brothers Realty,http://www.cohenbrothersrealty.com,
120490,"CENTRE DE PRÉPARATION SUPÉRIEURE AU SECRÉTARIAT, PARIS, FRANCE",,,
120491,"UNIVERSITY OF THE SORBONNE, Institut National des Langues et Civilisations Orientales, PARIS, FRANCE",,,
120492,"GOETHE-INSTITUT, MUNICH, GERMANY",,,
120493,byASSOCIATION,,http://www.by-association.com,https://www.linkedin.com/company/6585809
120494,Buoy Health,,https://www.buoyhealth.com,https://www.linkedin.com/company/buoyhealth/
120495,JakDesign,,,
120496,simplyjenwong,,,
120497,"Security Industry Specialists, Inc.",Security Industry Specialists,http://sis.us,
120498,Smart Roof,,,
120499,Reinvent Thyself Clothing,,,
120500,Enterprise Rent a Car                                      2006,,,
120501,EQUISHARES: A Real Estate Development & Private Equity Syndication Company,,,
120502,Tom OConnor Consulting,,,
120503,Independent International Sales and Business Development Consultant,,,
120504,Favorite Plastics,,,
120506,The Odyssey Group,Odyssey Group,http://theodyssey-group.com,
120507,CBI a UBM Life Sciences Company,,,
120508,HR Butler LLC,HR Butler LLC,,
120509,PolyOne GLS Thermoplastic Elastomers,,,
120510,ASUS North America,,,
120511,TrueFinancial Technologies,,,
120513,MoovOne,,,
120514,Teillage Saint Martin,,,
120515,The Cool Republic,,http://thecoolrepublic.com,
120516,EBS Madrid,,,
120517,ArchBishop Molloy HS,,,
120518,SongBooth,,,
120519,Cascade / Sport Helmet,,,
120520,Krinner Mounting Inc.,,,
120521,Krinner Solar,,,
120522,Car Sharing Ads,,,
120523,UnternehmerTUM Center for Innovation and Business Creation,,,
120524,Free Up,,https://freeupapp.com,
120525,Stock Market,,,
120526,"OpenExchange, Inc.","OpenExchange, Inc.",,
120527,Sellew Family Offices,,,
120528,"notavail,inc.",,,
120529,"FangChang Electronic Systems, Inc.",,,
120530,Securonix,,,
120531,"Iris Financial Engineering and Systems, Inc.",,,
120532,American Public Media Group,,,
120533,Campus Marketing Services,,,
120534,Mr. Biggs Bar & Grill,,,
120535,"Aura, LLC",,,
120536,Pondera International LLC,,,
120537,Welcome (formerly ChatID),,http://welcomecommerce.com,http://www.linkedin.com/company/chatid
120538,New York eHealth Collaborative,,http://nyehealth.org,
120539,Livongo,Livongo,http://www.livongo.com,https://www.linkedin.com/company/eoshealth-inc-/
120540,BrainGain,,http://www.braingain.co,
120541,JES Island,,,
120542,National Entrepreneurship Network,,http://nenglobal.org,http://www.linkedin.com/company/national-entrepreneurship-networ
120543,ZoomCar India Pvt. Ltd.,ZoomCar India Pvt. Ltd.,,
120544,IDEX Fellowship in Social Enterprise,,,
120545,"Barton F. Graf 9000, LLC",,,
120547,ASD Healthcare an AmerisourceBergen Company,,,
120548,American Medical Distributors a Bellco Healthcare Company,,,
120549,McKesson Specialty Health,,,
120550,Dialysis Purchasing Alliance a Bellco Healthcare Company,,,
120551,Century 21 AA,,,
120553,GoAccredited,,http://www.goaccredited.com,
120554,Ascend Funding Solutions,,http://www.ascendfundingsolutionsinc.com,
120555,GoGoTech,,http://www.gogotech.com,
120556,Jinfonet Software,,http://www.jinfonet.com,http://www.linkedin.com/company/jinfonet-software
120557,miami killian,,,
120558,Brownsville Academy High School,,,
120559,Silberman School of Social Work,,,
120560,Copywow,,,
120561,Crossfire Web Development Intensive,,,
120562,Florence and Laurence Spungen Family Foundation,,,
120563,RipEffect,,,
120564,Leslie Munger- State Rep Campaign,,,
120566,PEER Chain Company,,,
120567,Institute for Shipboard Education,,,
120568,MRP Advisers LLC,,,
120569,C & C Wine Connection,,,
120570,Sunshine Wine,,,
120571,Solstars Wine Company,,,
120572,Sheepshead Bay H.S.,,,
120573,I.J. Peiser's Sons Inc,,,
120574,Hotel Interactive Network,,http://www.hotelinteractive.com,
120575,Independent Consultancy,,,
120576,Haight Ashbury Free Clinics,,,
120577,"ICS Software, Ltd.",ICS Software,http://www.icssoftware.net,
120578,Main Line Sports Center,,,
